X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-55.6068761
1.30616667,0,-51.6256748
1.23360185,0,-51.8549063
1.16103704,0,-52.094762
1.08847222,0,-52.3465429
1.01590741,0,-52.6097776
0.943342593,0,-52.8835882
0.870777778,0,-53.1664017
0.798212963,0,-53.4554933
0.725648148,0,-53.7475955
0.653083333,0,-54.0383776
0.580518519,0,-54.3221261
0.507953704,0,-54.5929151
0.435388889,0,-54.8436171
0.362824074,0,-55.0680405
0.290259259,0,-55.259805
0.217694444,0,-55.4132743
0.14512963,0,-55.5244138
0.072564815,0,-55.5896456
0,-0.043333333,-55.5631971
0,-0.086666667,-55.4390355
0,-0.13,-55.2516309
0,-0.173333333,-55.0240651
0,-0.216666667,-54.7784327
0,-0.26,-54.530666
0.072564815,-0.043333333,-55.5462627
0.072564815,-0.086666667,-55.4229023
0.072564815,-0.13,-55.236707
0.072564815,-0.173333333,-55.0106076
0.072564815,-0.216666667,-54.7665837
0.072564815,-0.26,-54.5204073
0.14512963,-0.043333333,-55.4818822
0.14512963,-0.086666667,-55.3608729
0.14512963,-0.13,-55.1783198
0.14512963,-0.173333333,-54.9565662
0.14512963,-0.216666667,-54.7173049
0.14512963,-0.26,-54.4758676
0.217694444,-0.043333333,-55.3721881
0.217694444,-0.086666667,-55.254933
0.217694444,-0.13,-55.0782677
0.217694444,-0.173333333,-54.8636727
0.217694444,-0.216666667,-54.6321343
0.217694444,-0.26,-54.3984577
0.290259259,-0.043333333,-55.2204745
0.290259259,-0.086666667,-55.1082714
0.290259259,-0.13,-54.9395767
0.290259259,-0.173333333,-54.7347758
0.290259259,-0.216666667,-54.5137092
0.290259259,-0.26,-54.2903977
0.362824074,-0.043333333,-55.0308762
0.362824074,-0.086666667,-54.9253714
0.362824074,-0.13,-54.76622
0.362824074,-0.173333333,-54.5735603
0.362824074,-0.216666667,-54.3653848
0.362824074,-0.26,-54.1546606
0.435388889,-0.043333333,-54.8092708
0.435388889,-0.086666667,-54.7110553
0.435388889,-0.13,-54.5633991
0.435388889,-0.173333333,-54.3844979
0.435388889,-0.216666667,-54.1911289
0.435388889,-0.26,-53.9947707
0.507953704,-0.043333333,-54.561232
0.507953704,-0.086666667,-54.471399
0.507953704,-0.13,-54.3364579
0.507953704,-0.173333333,-54.1727285
0.507953704,-0.216666667,-53.9953595
0.507953704,-0.26,-53.8145917
0.580518519,-0.043333333,-54.2936846
0.580518519,-0.086666667,-54.2128391
0.580518519,-0.13,-54.0910725
0.580518519,-0.173333333,-53.9433824
0.580518519,-0.216666667,-53.782691
0.580518519,-0.26,-53.6180882
0.653083333,-0.043333333,-54.0130782
0.653083333,-0.086666667,-53.9412333
0.653083333,-0.13,-53.8331967
0.653083333,-0.173333333,-53.7015082
0.653083333,-0.216666667,-53.55763
0.653083333,-0.26,-53.4092806
0.725648148,-0.043333333,-53.725539
0.725648148,-0.086666667,-53.6627333
0.725648148,-0.13,-53.5678927
0.725648148,-0.173333333,-53.4519162
0.725648148,-0.216666667,-53.3243036
0.725648148,-0.26,-53.1921127
