NODE	X	Y	Z
1	-7.5	0	-0.75
22	0	0	-0.75
23	-5.95E-02	0	-0.75
24	-0.119047619	0	-0.75
25	-0.178571429	0	-0.75
26	-0.238095238	0	-0.75
27	-0.297619048	0	-0.75
28	-0.357142857	0	-0.75
29	-0.416666667	0	-0.75
30	-0.476190476	0	-0.75
31	-0.535714286	0	-0.75
32	-0.595238095	0	-0.75
33	-0.654761905	0	-0.75
34	-0.714285714	0	-0.75
35	-0.773809524	0	-0.75
36	-0.833333333	0	-0.75
37	-0.892857143	0	-0.75
38	-0.952380952	0	-0.75
39	-1.011904762	0	-0.75
40	-1.071428571	0	-0.75
41	-1.130952381	0	-0.75
42	-1.19047619	0	-0.75
43	-1.25	0	-0.75
44	-1.30952381	0	-0.75
45	-1.369047619	0	-0.75
46	-1.428571429	0	-0.75
47	-1.488095238	0	-0.75
48	-1.547619048	0	-0.75
49	-1.607142857	0	-0.75
50	-1.666666667	0	-0.75
51	-1.726190476	0	-0.75
52	-1.785714286	0	-0.75
53	-1.845238095	0	-0.75
54	-1.904761905	0	-0.75
55	-1.964285714	0	-0.75
56	-2.023809524	0	-0.75
57	-2.083333333	0	-0.75
58	-2.142857143	0	-0.75
59	-2.202380952	0	-0.75
60	-2.261904762	0	-0.75
61	-2.321428571	0	-0.75
62	-2.380952381	0	-0.75
63	-2.44047619	0	-0.75
64	-2.5	0	-0.75
65	-2.55952381	0	-0.75
66	-2.619047619	0	-0.75
67	-2.678571429	0	-0.75
68	-2.738095238	0	-0.75
69	-2.797619048	0	-0.75
70	-2.857142857	0	-0.75
71	-2.916666667	0	-0.75
72	-2.976190476	0	-0.75
73	-3.035714286	0	-0.75
74	-3.095238095	0	-0.75
75	-3.154761905	0	-0.75
76	-3.214285714	0	-0.75
77	-3.273809524	0	-0.75
78	-3.333333333	0	-0.75
79	-3.392857143	0	-0.75
80	-3.452380952	0	-0.75
81	-3.511904762	0	-0.75
82	-3.571428571	0	-0.75
83	-3.630952381	0	-0.75
84	-3.69047619	0	-0.75
85	-3.75	0	-0.75
86	-3.80952381	0	-0.75
87	-3.869047619	0	-0.75
88	-3.928571429	0	-0.75
89	-3.988095238	0	-0.75
90	-4.047619048	0	-0.75
91	-4.107142857	0	-0.75
92	-4.166666667	0	-0.75
93	-4.226190476	0	-0.75
94	-4.285714286	0	-0.75
95	-4.345238095	0	-0.75
96	-4.404761905	0	-0.75
97	-4.464285714	0	-0.75
98	-4.523809524	0	-0.75
99	-4.583333333	0	-0.75
100	-4.642857143	0	-0.75
101	-4.702380952	0	-0.75
102	-4.761904762	0	-0.75
103	-4.821428571	0	-0.75
104	-4.880952381	0	-0.75
105	-4.94047619	0	-0.75
106	-5	0	-0.75
107	-5.05952381	0	-0.75
108	-5.119047619	0	-0.75
109	-5.178571429	0	-0.75
110	-5.238095238	0	-0.75
111	-5.297619048	0	-0.75
112	-5.357142857	0	-0.75
113	-5.416666667	0	-0.75
114	-5.476190476	0	-0.75
115	-5.535714286	0	-0.75
116	-5.595238095	0	-0.75
117	-5.654761905	0	-0.75
118	-5.714285714	0	-0.75
119	-5.773809524	0	-0.75
120	-5.833333333	0	-0.75
121	-5.892857143	0	-0.75
122	-5.952380952	0	-0.75
123	-6.011904762	0	-0.75
124	-6.071428571	0	-0.75
125	-6.130952381	0	-0.75
126	-6.19047619	0	-0.75
127	-6.25	0	-0.75
128	-6.30952381	0	-0.75
129	-6.369047619	0	-0.75
130	-6.428571429	0	-0.75
131	-6.488095238	0	-0.75
132	-6.547619048	0	-0.75
133	-6.607142857	0	-0.75
134	-6.666666667	0	-0.75
135	-6.726190476	0	-0.75
136	-6.785714286	0	-0.75
137	-6.845238095	0	-0.75
138	-6.904761905	0	-0.75
139	-6.964285714	0	-0.75
140	-7.023809524	0	-0.75
141	-7.083333333	0	-0.75
142	-7.142857143	0	-0.75
143	-7.202380952	0	-0.75
144	-7.261904762	0	-0.75
145	-7.321428571	0	-0.75
146	-7.380952381	0	-0.75
147	-7.44047619	0	-0.75
2165	0	0	0
2185	-7.5	0	0
2186	-5.95E-02	0	0
2187	-0.119047619	0	0
2188	-0.178571429	0	0
2189	-0.238095238	0	0
2190	-0.297619048	0	0
2191	-0.357142857	0	0
2192	-0.416666667	0	0
2193	-0.476190476	0	0
2194	-0.535714286	0	0
2195	-0.595238095	0	0
2196	-0.654761905	0	0
2197	-0.714285714	0	0
2198	-0.773809524	0	0
2199	-0.833333333	0	0
2200	-0.892857143	0	0
2201	-0.952380952	0	0
2202	-1.011904762	0	0
2203	-1.071428571	0	0
2204	-1.130952381	0	0
2205	-1.19047619	0	0
2206	-1.25	0	0
2207	-1.30952381	0	0
2208	-1.369047619	0	0
2209	-1.428571429	0	0
2210	-1.488095238	0	0
2211	-1.547619048	0	0
2212	-1.607142857	0	0
2213	-1.666666667	0	0
2214	-1.726190476	0	0
2215	-1.785714286	0	0
2216	-1.845238095	0	0
2217	-1.904761905	0	0
2218	-1.964285714	0	0
2219	-2.023809524	0	0
2220	-2.083333333	0	0
2221	-2.142857143	0	0
2222	-2.202380952	0	0
2223	-2.261904762	0	0
2224	-2.321428571	0	0
2225	-2.380952381	0	0
2226	-2.44047619	0	0
2227	-2.5	0	0
2228	-2.55952381	0	0
